68,0,2,65,0,0,11,5,0,10,6,9
69,0,1,74,0,6,10,4,2,6,2,7
70,0,1,68,1,4,12,1,1,7,9,5
71,1,5,68,2,0,11,5,0,8,6,9
72,5,0,71,0,0,9,8,0,9,4,6
73,1,3,64,0,0,10,4,0,8,3,6
74,1,4,61,0,0,10,6,0,7,3,8
75,0,0,66,1,0,11,4,0,7,6,9
76,3,0,64,0,1,12,2,0,7,3,9
77,0,1,66,0,0,8,2,0,7,4,6
78,3,2,58,2,0,8,2,1,10,4,8
79,0,0,57,6,0,8,2,0,9,5,8
80,0,2,62,0,0,8,4,0,10,6,10
81,1,2,59,1,0,9,4,0,7,4,9
82,0,2,54,0,0,8,4,5,9,6,8
83,6,1,58,1,0,7,8,4,5,4,3
84,2,2,61,7,1,10,4,0,8,7,9
85,1,1,56,2,0,9,4,1,10,7,8
86,4,3,54,1,0,8,5,0,6,6,8
87,1,1,56,1,0,11,3,2,7,4,7
88,1,2,56,0,3,9,4,0,11,5,8
89,0,5,55,2,0,9,6,1,6,5,8
90,0,4,56,1,0,12,4,2,8,6,7
91,1,1,50,1,0,11,8,1,8,4,9
92,2,5,52,1,1,9,4,0,9,9,8
93,1,1,51,3,1,8,4,5,8,7,10
94,0,6,56,0,4,9,4,1,14,11,7
95,1,1,51,0,1,9,4,4,10,7,12
96,0,1,52,1,0,9,7,1,13,5,9
97,1,1,49,2,0,12,3,3,7,4,7
98,0,2,49,1,0,11,7,1,7,5,10
99,2,2,46,2,0,12,2,3,8,6,8
100,1,4,52,1,3,9,5,2,9,8,9
101,1,3,51,1,0,8,4,4,9,11,10
102,1,3,45,2,0,12,7,1,7,5,8
103,0,1,50,3,1,10,4,8,9,11,10
104,2,1,42,1,5,9,8,2,6,5,10
105,4,1,44,1,3,10,4,0,9,6,8
106,0,1,44,1,0,9,5,0,7,5,7
107,0,5,44,0,0,10,5,1,8,8,7
108,0,0,42,0,0,8,5,6,8,5,11
109,0,10,47,0,0,9,3,0,11,5,10
110,1,3,41,0,0,8,4,3,11,7,7
111,3,0,38,2,0,11,7,0,6,4,6
112,1,0,44,0,0,10,2,0,5,3,6
113,0,0,43,5,0,6,4,1,7,6,8
114,0,1,39,0,0,9,5,0,7,7,11
115,0,1,39,3,0,13,7,0,12,7,11
116,2,5,40,1,0,7,5,0,7,3,10
117,0,0,35,2,0,9,5,1,7,5,13
118,0,0,40,0,0,7,3,0,11,6,10
119,0,0,45,0,0,6,6,1,11,8,10
120,0,0,40,2,4,12,2,0,8,5,9
121,0,0,44,0,0,7,6,3,10,5,8
122,1,1,38,0,0,10,3,1,8,9,16
123,3,0,35,9,0,8,6,2,7,6,6
124,2,2,37,7,0,9,3,1,10,6,15
125,2,6,39,7,1,8,5,2,8,6,9
126,1,1,36,3,1,8,5,1,11,7,8
127,0,1,35,5,0,7,4,0,11,11,8
128,6,4,36,1,0,8,5,1,10,7,7
129,1,0,34,3,0,8,3,1,6,5,8
130,0,1,42,8,0,7,5,3,8,5,9
131,2,2,36,5,1,7,4,6,10,11,9
132,0,4,36,1,0,8,3,0,9,12,7
133,0,3,34,1,0,6,3,5,7,11,8
134,2,1,37,1,0,8,5,1,8,6,11
135,2,1,34,7,0,7,4,7,8,8,10
